driver_id,total_fare,average_distance
7,92.38,25.86
51,140.09,43.13
11,97.83,39.06
73,260.05,17.485
22,83.35,18.61
16,142.37,37.72
98,97.85,41.74
31,99.15,49.93
27,81.87,23.75
17,22.98,6.34
78,158.75,20.1
77,121.12,46.45
55,94.05,23.41
40,8.67,34.57
53,127.25,17.55
84,78.38,23.18
1,111.52,9.81
36,39.96,4.57
37,68.52,30.66
49,79.5,16.9
4,72.59,7.41
39,59.1,19.335
13,288.27,26.244999999999997
66,154.23,24.155
94,49.54,31.62
74,52.54,10.48
76,109.77000000000001,28.97666666666667
2,32.97,32.13
45,127.66,25.35
57,38.54,45.56
